group,plate,serum,virus,replicate,ic50,ic50_bound,midpoint,midpoint_bound,midpoint_bound_type,slope,top,bottom,r2,rmsd
human,plate24,flu-seqneut-2026-CTS-050,A/Andalucia/PMC-00977/2025_H1N1,plate24-A/Andalucia/PMC-00977/2025_H1N1,0.0004336,interpolated,0.0004336,0.0004336,interpolated,1.292,1,0,0.9562,0.07386
human,plate24,flu-seqneut-2026-CTS-050,A/Andalucia/PMC-01217/2025_H1N1,plate24-A/Andalucia/PMC-01217/2025_H1N1,0.000637,interpolated,0.000637,0.000637,interpolated,2.446,1,0,0.9925,0.03599
human,plate24,flu-seqneut-2026-CTS-050,A/Andalucia/PMC-01495/2025_H1N1,plate24-A/Andalucia/PMC-01495/2025_H1N1,0.0003332,interpolated,0.0004811,0.0004811,interpolated,2.129,0.7287,0,0.9928,0.02382
human,plate24,flu-seqneut-2026-CTS-050,A/Arizona/40/2026_H1N1,plate24-A/Arizona/40/2026_H1N1,0.0005751,interpolated,0.0005751,0.0005751,interpolated,1.693,1,0,0.972,0.06565
human,plate24,flu-seqneut-2026-CTS-050,A/Astrakhan/RII-MH273373S/2025_H3N2,plate24-A/Astrakhan/RII-MH273373S/2025_H3N2,0.0007917,interpolated,0.0007917,0.0007917,interpolated,0.8,1,0,0.6606,0.1801
human,plate24,flu-seqneut-2026-CTS-050,A/Asturias/232590913/2025_H1N1,plate24-A/Asturias/232590913/2025_H1N1,0.0004225,interpolated,0.0005969,0.0005969,interpolated,1.802,0.7682,0,0.9899,0.03036
human,plate24,flu-seqneut-2026-CTS-050,A/Badajoz/18738342/2026_H3N2,plate24-A/Badajoz/18738342/2026_H3N2,0.0007229,interpolated,0.0007229,0.0007229,interpolated,0.8328,1,0,0.8891,0.1073
human,plate24,flu-seqneut-2026-CTS-050,A/Badajoz/18811358/2026_H3N2,plate24-A/Badajoz/18811358/2026_H3N2,0.003647,interpolated,0.003841,0.003841,interpolated,10,0.798,0,0.7185,0.1948
human,plate24,flu-seqneut-2026-CTS-050,A/Badajoz/18813527/2026_H3N2,plate24-A/Badajoz/18813527/2026_H3N2,0.0006664,interpolated,0.0006664,0.0006664,interpolated,0.8,1,0,0.9193,0.08151
human,plate24,flu-seqneut-2026-CTS-050,A/Bangkok/P2390/2025_H3N2,plate24-A/Bangkok/P2390/2025_H3N2,0.001628,interpolated,0.002233,0.002233,interpolated,0.8,0.8882,0,0.6519,0.1935
human,plate24,flu-seqneut-2026-CTS-050,A/Bangkok/P2391/2025_H3N2,plate24-A/Bangkok/P2391/2025_H3N2,0.0007639,interpolated,0.0009512,0.0009512,interpolated,2.324,0.8003,0,0.8889,0.1143
human,plate24,flu-seqneut-2026-CTS-050,A/Blaenavon/6687/2026_H3N2,plate24-A/Blaenavon/6687/2026_H3N2,0.00132,interpolated,0.001781,0.001781,interpolated,0.8,0.8935,0,0.7388,0.1397
human,plate24,flu-seqneut-2026-CTS-050,A/Bolivia/OR5702/2025_H3N2,plate24-A/Bolivia/OR5702/2025_H3N2,0.001801,interpolated,0.001801,0.001801,interpolated,0.8014,1,0,0.8996,0.1026
human,plate24,flu-seqneut-2026-CTS-050,A/BritishColumbia/RV00022-26/2025_H1N1,plate24-A/BritishColumbia/RV00022-26/2025_H1N1,0.0006594,interpolated,0.0007402,0.0007402,interpolated,3.645,0.8281,0,0.9878,0.03987
human,plate24,flu-seqneut-2026-CTS-050,A/BritishColumbia/RV00279-26/2025_H3N2,plate24-A/BritishColumbia/RV00279-26/2025_H3N2,0.001252,interpolated,0.001252,0.001252,interpolated,1.189,1,0,0.9084,0.111
human,plate24,flu-seqneut-2026-CTS-050,A/BritishColumbia/RV01350-26/2026_H1N1,plate24-A/BritishColumbia/RV01350-26/2026_H1N1,0.0003878,interpolated,0.0004386,0.0004386,interpolated,1.458,0.9179,0,0.9933,0.02674
human,plate24,flu-seqneut-2026-CTS-050,A/BritishColumbia/RV05508-25/2025_H1N1,plate24-A/BritishColumbia/RV05508-25/2025_H1N1,0.0007904,interpolated,0.001159,0.001159,interpolated,1.389,0.7938,0,0.965,0.0587
human,plate24,flu-seqneut-2026-CTS-050,A/California/GKISBBBH79910/2026_H3N2,plate24-A/California/GKISBBBH79910/2026_H3N2,0.000721,interpolated,0.000721,0.000721,interpolated,0.8,1,0,0.8832,0.09632
human,plate24,flu-seqneut-2026-CTS-050,A/California/NIRC-IS-1019/2026_H1N1,plate24-A/California/NIRC-IS-1019/2026_H1N1,0.0003622,interpolated,0.0004742,0.0004742,interpolated,1.391,0.8438,0,0.9928,0.02537
human,plate24,flu-seqneut-2026-CTS-050,A/California/NIRC-IS-1059/2026_H3N2,plate24-A/California/NIRC-IS-1059/2026_H3N2,0.001224,interpolated,0.002254,0.002254,interpolated,1.464,0.7047,0,0.9121,0.0798
human,plate24,flu-seqneut-2026-CTS-050,A/California/NIRC-IS-1067/2026_H3N2,plate24-A/California/NIRC-IS-1067/2026_H3N2,0.002409,interpolated,0.003199,0.003199,interpolated,1.408,0.8354,0,0.7937,0.1466
human,plate24,flu-seqneut-2026-CTS-050,A/California/NIRC-IS-1356/2025_H1N1,plate24-A/California/NIRC-IS-1356/2025_H1N1,0.0003979,interpolated,0.0003979,0.0003979,interpolated,1.482,1,0,0.998,0.01571
