serum,strain,plate_barcode,dilution_factor,frac_infectivity_raw,frac_infectivity_ceiling
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,40,0.003709,0.003709
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,92,0.01918,0.01918
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,212,0.1597,0.1597
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,487,0.7474,0.7474
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,1119,1.153,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,2575,1.202,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,5921,1.24,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-00977/2025_H1N1,plate44-A/Andalucia/PMC-00977/2025_H1N1,1.362e+04,1.316,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,40,0.0004489,0.0004489
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,92,0.002929,0.002929
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,212,0.1688,0.1688
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,487,0.5908,0.5908
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,1119,0.8365,0.8365
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,2575,1.339,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,5921,1.004,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01217/2025_H1N1,plate44-A/Andalucia/PMC-01217/2025_H1N1,1.362e+04,1.114,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,40,0,0
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,92,0.0004737,0.0004737
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,212,0.2329,0.2329
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,487,0.8062,0.8062
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,1119,0.939,0.939
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,2575,1.287,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,5921,1.181,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Andalucia/PMC-01495/2025_H1N1,plate44-A/Andalucia/PMC-01495/2025_H1N1,1.362e+04,0.9521,0.9521
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,40,0.007186,0.007186
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,92,0.008805,0.008805
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,212,0.1426,0.1426
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,487,0.6767,0.6767
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,1119,1.112,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,2575,1.133,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,5921,1.505,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Arizona/40/2026_H1N1,plate44-A/Arizona/40/2026_H1N1,1.362e+04,1.304,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,40,0,0
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,92,0.01439,0.01439
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,212,0.02773,0.02773
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,487,0.06181,0.06181
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,1119,0.5575,0.5575
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,2575,1.294,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,5921,0.8516,0.8516
flu-seqneut-2026-VIDRL-049_post-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,plate44-A/Astrakhan/RII-MH273373S/2025_H3N2,1.362e+04,1.481,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,40,0,0
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,92,0.03515,0.03515
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,212,0.3466,0.3466
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,487,0.759,0.759
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,1119,1.372,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,2575,1.498,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,5921,1.386,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Asturias/232590913/2025_H1N1,plate44-A/Asturias/232590913/2025_H1N1,1.362e+04,1.606,1
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,40,0.0003029,0.0003029
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,92,0.001207,0.001207
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,212,0.01136,0.01136
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,487,0.1756,0.1756
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,1119,0.3959,0.3959
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,2575,0.8758,0.8758
flu-seqneut-2026-VIDRL-049_post-vax,A/Badajoz/18738342/2026_H3N2,plate44-A/Badajoz/18738342/2026_H3N2,5921,0.8411,0.8411
