group,serum,virus,plate,replicate,titer,titer_bound,titer_as,titer_units,nt50,midpoint,top,bottom,slope,dropped_by_qc
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Andalucia/PMC-00977/2025_H1N1,plate3,plate3-A/Andalucia/PMC-00977/2025_H1N1,99.62,interpolated,midpoint,reciprocal_dilution,101.8,99.62,0.9023,0,10,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Andalucia/PMC-01217/2025_H1N1,plate3,plate3-A/Andalucia/PMC-01217/2025_H1N1,104.7,interpolated,midpoint,reciprocal_dilution,105.9,104.7,0.9442,0,10,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Andalucia/PMC-01495/2025_H1N1,plate3,plate3-A/Andalucia/PMC-01495/2025_H1N1,118.4,interpolated,midpoint,reciprocal_dilution,123.4,118.4,0.9261,0,3.874,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Arizona/40/2026_H1N1,plate3,plate3-A/Arizona/40/2026_H1N1,115.7,interpolated,midpoint,reciprocal_dilution,119.5,115.7,0.9312,0,4.54,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Astrakhan/RII-MH273373S/2025_H3N2,plate3,plate3-A/Astrakhan/RII-MH273373S/2025_H3N2,4774,interpolated,midpoint,reciprocal_dilution,4774,4774,1,0,1.56,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Asturias/232590913/2025_H1N1,plate3,plate3-A/Asturias/232590913/2025_H1N1,139.6,interpolated,midpoint,reciprocal_dilution,150.5,139.6,0.9075,0,2.711,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Badajoz/18738342/2026_H3N2,plate3,plate3-A/Badajoz/18738342/2026_H3N2,6665,interpolated,midpoint,reciprocal_dilution,6665,6665,1,0,1.762,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Badajoz/18811358/2026_H3N2,plate3,plate3-A/Badajoz/18811358/2026_H3N2,3922,interpolated,midpoint,reciprocal_dilution,3922,3922,1,0,1.439,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Badajoz/18813527/2026_H3N2,plate3,plate3-A/Badajoz/18813527/2026_H3N2,5246,interpolated,midpoint,reciprocal_dilution,5246,5246,1,0,1.605,False
human-qc-dropped,flu-seqneut-2026-SCH-033,A/Bangkok/P2390/2025_H3N2,plate3,plate3-A/Bangkok/P2390/2025_H3N2,4824,interpolated,midpoint,reciprocal_dilution,4824,4824,1,0,1.495,False
