group,serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as,titer_units
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Andalucia/PMC-00977/2025_H1N1,310.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Andalucia/PMC-01217/2025_H1N1,224.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Andalucia/PMC-01495/2025_H1N1,232.6,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Arizona/40/2026_H1N1,308.3,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Astrakhan/RII-MH273373S/2025_H3N2,290,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Asturias/232590913/2025_H1N1,283.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Badajoz/18738342/2026_H3N2,179.7,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Badajoz/18811358/2026_H3N2,239.4,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Badajoz/18813527/2026_H3N2,252,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Bangkok/P2390/2025_H3N2,283.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Bangkok/P2391/2025_H3N2,125.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Blaenavon/6687/2026_H3N2,209.3,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Bolivia/OR5702/2025_H3N2,238.8,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/BritishColumbia/RV00022-26/2025_H1N1,236.4,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/BritishColumbia/RV00279-26/2025_H3N2,288.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/BritishColumbia/RV01350-26/2026_H1N1,231.7,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/BritishColumbia/RV05508-25/2025_H1N1,180.8,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/California/GKISBBBH79910/2026_H3N2,242.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/California/NIRC-IS-1019/2026_H1N1,225.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/California/NIRC-IS-1059/2026_H3N2,255,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/California/NIRC-IS-1067/2026_H3N2,343.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/California/NIRC-IS-1356/2025_H1N1,179.7,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Castellon/VAHNSI_02_02400/2025_H3N2,168.8,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Colombia/1851/2024_H3N2,229.6,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Colorado/218/2024_H1N1,296.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Connecticut/5/2026_H3N2,299.5,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Croatia/10136RV/2023_H3N2,483.3,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Darwin/1415/2025_H3N2,233.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Darwin/1454/2025_H3N2,480.5,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Denmark/3940/2025_H3N2,239.4,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Denmark/4547/2025_H1N1,211,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Denmark/4774/2025_H1N1,99.63,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/District_Of_Columbia/27/2023_H3N2,202.6,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Distrito_Federal/250106000728/2025_H3N2,220.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/England/1893256/2026_H1N1,226.2,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/Florida/ISC-1069/2026_H3N2,216.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/France/ARA-HCL025195259501/2025_H1N1,272.7,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/France/ARA-HCL026031894402/2026_H3N2,167.3,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/France/GES-IPP00659/2026_H1N1,171.1,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/France/GES-IPP01077/2026_H3N2,467.8,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/France/HDF-IPP01550/2026_H3N2,153.9,interpolated,,1,midpoint,reciprocal_dilution
human,flu-seqneut-2026-VIDRL-100_pre-vax,A/France/HDF-RELAB-IPP00300/2026_H3N2,278.6,interpolated,,1,midpoint,reciprocal_dilution
